PIN:MEMLATENCIES 1.0. 0x0
#
# CACHE stats
#
# L1 Instruction Cache:
# Total-Hits:                   0    0.00%
# Total-Misses:          36739953  100.00%
# Total-Accesses:        36739953  100.00%

# L1 Data Cache:
# Load-Hits:              8623425   98.04%
# Load-Misses:             172412    1.96%
# Load-Accesses:          8795837  100.00%
# 
# Store-Hits:             2722613   65.97%
# Store-Misses:           1404547   34.03%
# Store-Accesses:         4127160  100.00%
# 
# Total-Hits:            11346038   87.80%
# Total-Misses:           1576959   12.20%
# Total-Accesses:        12922997  100.00%

# L2 Unified Cache:
# Load-Hits:             36864182   99.71%
# Load-Misses:             108403    0.29%
# Load-Accesses:         36972585  100.00%
# 
# Store-Hits:               65281   99.43%
# Store-Misses:               376    0.57%
# Store-Accesses:           65657  100.00%
# 
# Total-Hits:            36929463   99.71%
# Total-Misses:            108779    0.29%
# Total-Accesses:        37038242  100.00%

#
# L1D stats
#
NumItems 140
DATA:START
#  counters
# iaddr          : cache:miss        cache:hit
0x00007f5ada6b1168:         3907       246093
0x00007f5ada6b1173:          448       249552
0x00007f5ada6c6f52:          255        15048
0x00007f5ada6c73a9:          329         5100
0x00007f5ada6c7501:          537        20358
0x00007f5ada6c7897:          402         6075
0x00007f5ada6c7bdb:          597        29016
0x00007f5ada6e1cef:          217         3752
0x00007f5ada6e1cf4:          217         3752
0x00007f5ada6e1e7e:          217         3752
0x00007f5ada6e204c:         2761        10958
0x00007f5ada6e206b:         2760        10959
0x00007f5ada6e208a:         2760        10959
0x00007f5ada6e20a9:         2757        10962
0x00007f5ada6e2542:         1046        14954
0x00007f5ada6e2546:         1047        14953
0x00007f5ada6e2694:          907        15093
0x00007f5ada6e276c:          100        15400
0x00007f5ada6e2771:          105        15395
0x00007f5ada6e6401:          525         3444
0x00007f5ada6e7526:          120         9055
0x00007f5ada6e7598:          152         2580
0x00007f5ada6e76a1:          103         2629
0x00007f5ada6e7a0b:         4617         7290
0x00007f5ada6e7a19:         7939         3968
0x00007f5ada6e7e37:         6840         5067
0x00007f5ada6e7e3c:          970        10937
0x00007f5ada6e7e49:         1159        10748
0x00007f5ada6e7e4e:          327        11580
0x00007f5ada6e7e5b:         6187         5720
0x00007f5ada6e7e60:          312        11595
0x00007f5ada6e7e6d:          906        11001
0x00007f5ada6e7e72:          220        11687
0x00007f5adac978a5:          158         1250
0x00007f5adadbafc7:          145         2180
0x00007f5adadbafd8:          491         1834
0x00007f5adadbaff9:          289         2033
0x00007f5adadc16c5:          116          209
0x00007f5adadc1e8f:          112          434
0x00007f5adadc1e93:          112          434
0x00007f5adadc1e97:          224          322
0x00007f5adadc1f37:          276          928
0x00007f5adadc1f3f:          336          868
0x00007f5adadc1f43:          224          980
0x00007f5adadc1f47:          276          928
0x00007f5adadc23cb:          112          434
0x00007f5adadc23d3:          112          434
0x00007f5adadc23d7:          224          322
0x00007f5adadc2477:          288          916
0x00007f5adadc247f:          336          868
0x00007f5adadc2483:          210          994
0x00007f5adadc2487:          276          928
0x00007f5adadc290b:          112          420
0x00007f5adadc290f:          112          420
0x00007f5adadc2917:          210          322
0x00007f5adadc29b7:          336          882
0x00007f5adadc29bf:          322          896
0x00007f5adadc29c3:          224          994
0x00007f5adadc29c7:          288          930
0x00007f5adadc2e4f:          112          322
0x00007f5adadc2e53:          112          322
0x00007f5adadc2e57:          112          322
